kernel32-amd64-6.1.7601.23677.dll: PE32+ executable (DLL) (console) x86_64 (Fri Feb 10 00:34:46 2017)
  Export KERNEL32.dll
    Ordinal  Hint     Entry      Name
    -------- -------- ---------- --------
    0x0151   0x0150   0x00070000 FindNextVolumeMountPointW
    0x0152   0x0151   0x0004bbb0 FindNextVolumeW
    0x0153   0x0152   0x00003810 FindResourceA
    0x0154   0x0153   0x00003830 FindResourceExA
    0x0155   0x0154   0x000181f0 FindResourceExW
    0x0156   0x0155   0x00018400 FindResourceW
    0x0157   0x0156   0x0004bb40 FindStringOrdinal
    0x0158   0x0157   0x000608d0 FindVolumeClose
    0x0159   0x0158   0x0005bf90 FindVolumeMountPointClose
    0x015a   0x0159   0x00015a30 FlsAlloc
    0x015b   0x015a   0x0000fe50 FlsFree
    0x015c   0x015b   0x000212b0 FlsGetValue
    0x015d   0x015c   0x0001a5c0 FlsSetValue
    0x015e   0x015d   0x00009dc0 FlushConsoleInputBuffer
    0x015f   0x015e   0x000054e0 FlushFileBuffers
    0x0160   0x015f   0x000022e0 FlushInstructionCache
    0x0161   0x0160   0x000a990a FlushProcessWriteBuffers
    0x0162   0x0161   0x0004bb30 FlushViewOfFile
    0x0163   0x0162   0x0006de00 FoldStringA
    0x0164   0x0163   0x0004bb10 FoldStringW
    0x0165   0x0164   0x0004bad0 FormatMessageA
    0x0166   0x0165   0x000120e0 FormatMessageW
    0x0167   0x0166   0x0006a000 FreeConsole
    0x0168   0x0167   0x0004bac0 FreeEnvironmentStringsA
    0x0169   0x0168   0x000155a0 FreeEnvironmentStringsW
    0x016a   0x0169   0x00014ec0 FreeLibrary
    0x016b   0x016a   0x000042f0 FreeLibraryAndExitThread
    0x016c   0x016b   0x000a992b FreeLibraryWhenCallbackReturns
    0x016d   0x016c   0x00004910 FreeResource
    0x016e   0x016d   0x00047460 FreeUserPhysicalPages
    0x016f   0x016e   0x00040280 GenerateConsoleCtrlEvent
    0x0170   0x016f   0x00015830 GetACP
    0x0171   0x0170   0x00002770 GetActiveProcessorCount
    0x0172   0x0171   0x00072780 GetActiveProcessorGroupCount
    0x0173   0x0172   0x0007ea60 GetApplicationRecoveryCallback
    0x0174   0x0173   0x0007ea50 GetApplicationRestartSettings
    0x0175   0x0174   0x00065f60 GetAtomNameA
    0x0176   0x0175   0x00065f10 GetAtomNameW
    0x0177   0x0176   0x0005e870 GetBinaryType
    0x0178   0x0177   0x0005e870 GetBinaryTypeA
    0x0179   0x0178   0x0005e4d0 GetBinaryTypeW
    0x017a   0x0179   0x00015580 GetCPInfo
    0x017b   0x017a   0x00059b60 GetCPInfoExA
    0x017c   0x017b   0x0004bab0 GetCPInfoExW
    0x017d   0x017c   0x00096030 GetCalendarDateFormat
    0x017e   0x017d   0x00095ad0 GetCalendarDateFormatEx
    0x017f   0x017e   0x000861e0 GetCalendarDaysInMonth
    0x0180   0x017f   0x00095dd0 GetCalendarDifferenceInDays
    0x0181   0x0180   0x00059c10 GetCalendarInfoA
    0x0182   0x0181   0x00030558 GetCalendarInfoEx
    0x0183   0x0182   0x00030564 GetCalendarInfoW
    0x0184   0x0183   0x0007dd50 GetCalendarMonthsInYear
    0x0185   0x0184   0x0006e970 GetCalendarSupportedDateRange
    0x0186   0x0185   0x00096720 GetCalendarWeekNumber
    0x0187   0x0186   0x00047d30 GetComPlusPackageInstallStatus
    0x0188   0x0187   0x00049830 GetCommConfig
    0x0189   0x0188   0x00049750 GetCommMask
    0x018a   0x0189   0x00049670 GetCommModemStatus
    0x018b   0x018a   0x00049570 GetCommProperties
    0x018c   0x018b   0x000491e0 GetCommState
    0x018d   0x018c   0x000490d0 GetCommTimeouts
    0x018e   0x018d   0x0001fca0 GetCommandLineA
    0x018f   0x018e   0x0001acb0 GetCommandLineW
    0x0190   0x018f   0x00064060 GetCompressedFileSizeA
    0x0191   0x0190   0x00064150 GetCompressedFileSizeTransactedA
    0x0192   0x0191   0x000640b0 GetCompressedFileSizeTransactedW
    0x0193   0x0192   0x00063ea0 GetCompressedFileSizeW
    0x0194   0x0193   0x0000d520 GetComputerNameA
    0x0195   0x0194   0x000042a0 GetComputerNameExA
    0x0196   0x0195   0x0000b400 GetComputerNameExW
    0x0197   0x0196   0x0000b9e0 GetComputerNameW
    0x0198   0x0197   0x0006a1c0 GetConsoleAliasA
    0x0199   0x0198   0x000552e0 GetConsoleAliasExesA
    0x019a   0x0199   0x000554a0 GetConsoleAliasExesLengthA
    0x019b   0x019a   0x000554b0 GetConsoleAliasExesLengthW
    0x019c   0x019b   0x000552f0 GetConsoleAliasExesW
    0x019d   0x019c   0x0006a210 GetConsoleAliasW
    0x019e   0x019d   0x0006a180 GetConsoleAliasesA
    0x019f   0x019e   0x0006a1a0 GetConsoleAliasesLengthA
    0x01a0   0x019f   0x0006a1b0 GetConsoleAliasesLengthW
    0x01a1   0x01a0   0x0006a190 GetConsoleAliasesW
    0x01a2   0x01a1   0x0003fdf0 GetConsoleCP
    0x01a3   0x01a2   0x0003f8f0 GetConsoleCharType
    0x01a4   0x01a3   0x0006a100 GetConsoleCommandHistoryA
    0x01a5   0x01a4   0x0006a120 GetConsoleCommandHistoryLengthA
    0x01a6   0x01a5   0x0006a130 GetConsoleCommandHistoryLengthW
    0x01a7   0x01a6   0x0006a110 GetConsoleCommandHistoryW
    0x01a8   0x01a7   0x00040490 GetConsoleCursorInfo
    0x01a9   0x01a8   0x0003f7e0 GetConsoleCursorMode
    0x01aa   0x01a9   0x00041050 GetConsoleDisplayMode
    0x01ab   0x01aa   0x000698a0 GetConsoleFontInfo
    0x01ac   0x01ab   0x00040310 GetConsoleFontSize
    0x01ad   0x01ac   0x00041140 GetConsoleHardwareState
    0x01ae   0x01ad   0x0003fb00 GetConsoleHistoryInfo
    0x01af   0x01ae   0x00041960 GetConsoleInputExeNameA
    0x01b0   0x01af   0x000418c0 GetConsoleInputExeNameW
    0x01b1   0x01b0   0x00041710 GetConsoleInputWaitHandle
    0x01b2   0x01b1   0x00069650 GetConsoleKeyboardLayoutNameA
    0x01b3   0x01b2   0x00069630 GetConsoleKeyboardLayoutNameW
    0x01b4   0x01b3   0x00020bf0 GetConsoleMode
    0x01b5   0x01b4   0x0003f9f0 GetConsoleNlsMode
    0x01b6   0x01b5   0x0006a0e0 GetConsoleOriginalTitleA
    0x01b7   0x01b6   0x0006a0c0 GetConsoleOriginalTitleW
    0x01b8   0x01b7   0x00018030 GetConsoleOutputCP
    0x01b9   0x01b8   0x0003fba0 GetConsoleProcessList
    0x01ba   0x01b9   0x00012340 GetConsoleScreenBufferInfo
    0x01bb   0x01ba   0x000123a0 GetConsoleScreenBufferInfoEx
    0x01bc   0x01bb   0x00040410 GetConsoleSelectionInfo
    0x01bd   0x01bc   0x0006a0a0 GetConsoleTitleA
