kernel32-x86-5.1.2600.5512.dll: PE32 executable (DLL) (32bits) (console) i386 (Mon Apr 14 08:11:24 2008)
  Export KERNEL32.dll
    Ordinal  Hint     Entry      Name
    -------- -------- ---------- --------
    0x011e   0x011d   0x00070dc7 GetConsoleCommandHistoryA
    0x011f   0x011e   0x00070c25 GetConsoleCommandHistoryLengthA
    0x0120   0x011f   0x00070c0d GetConsoleCommandHistoryLengthW
    0x0121   0x0120   0x00070da9 GetConsoleCommandHistoryW
    0x0122   0x0121   0x00073981 GetConsoleCursorInfo
    0x0123   0x0122   0x00074c1f GetConsoleCursorMode
    0x0124   0x0123   0x0003706b GetConsoleDisplayMode
    0x0125   0x0124   0x00073bb9 GetConsoleFontInfo
    0x0126   0x0125   0x00073ce1 GetConsoleFontSize
    0x0127   0x0126   0x00072039 GetConsoleHardwareState
    0x0128   0x0127   0x0007111c GetConsoleInputExeNameA
    0x0129   0x0128   0x00070ef1 GetConsoleInputExeNameW
    0x012a   0x0129   0x00071a19 GetConsoleInputWaitHandle
    0x012b   0x012a   0x00074749 GetConsoleKeyboardLayoutNameA
    0x012c   0x012b   0x00074761 GetConsoleKeyboardLayoutNameW
    0x012d   0x012c   0x0001a038 GetConsoleMode
    0x012e   0x012d   0x000753a7 GetConsoleNlsMode
    0x012f   0x012e   0x0001a2af GetConsoleOutputCP
    0x0130   0x012f   0x000747e5 GetConsoleProcessList
    0x0131   0x0130   0x0001ad4b GetConsoleScreenBufferInfo
    0x0132   0x0131   0x00073a49 GetConsoleSelectionInfo
    0x0133   0x0132   0x00070e59 GetConsoleTitleA
    0x0134   0x0133   0x0001ab5c GetConsoleTitleW
    0x0135   0x0134   0x00074779 GetConsoleWindow
    0x0136   0x0135   0x00075f99 GetCurrencyFormatA
    0x0137   0x0136   0x0007baea GetCurrencyFormatW
    0x0138   0x0137   0x0002f499 GetCurrentActCtx
    0x0139   0x0138   0x00073d6f GetCurrentConsoleFont
    0x013a   0x0139   0x00034416 GetCurrentDirectoryA
    0x013b   0x013a   0x0000ad07 GetCurrentDirectoryW
    0x013c   0x013b   0x0000d285 GetCurrentProcess
    0x013d   0x013c   0x00008db0 GetCurrentProcessId
