kernel32-x86-6.1.7601.23677.dll: PE32 executable (DLL) (32bits) (console) i386 (Fri Feb 10 00:17:35 2017)
  Export KERNEL32.dll
    Ordinal  Hint     Entry      Name
    -------- -------- ---------- --------
    0x00e5   0x00e3   0x0008620d DnsHostnameToComputerNameA
    0x00e6   0x00e4   0x0008615e DnsHostnameToComputerNameW
    0x00e7   0x00e5   0x0002efe6 DosDateTimeToFileTime
    0x00e8   0x00e6   0x000946d4 DosPathToSessionPathA
    0x00e9   0x00e7   0x000944d6 DosPathToSessionPathW
    0x00ea   0x00e8   0x000b7efb DuplicateConsoleHandle
    0x00eb   0x00e9   0x00011856 DuplicateHandle
    0x00ec   0x00ea   0x0009f48e EnableThreadProfiling
    0x00ed   0x00eb   0x000ca35c EncodePointer
    0x00ee   0x00ec   0x000ca373 EncodeSystemPointer
    0x00ef   0x00ed   0x000a44f4 EndUpdateResourceA
    0x00f0   0x00ee   0x000a428e EndUpdateResourceW
    0x00f1   0x00ef   0x000ca390 EnterCriticalSection
    0x00f2   0x00f0   0x00039e58 EnumCalendarInfoA
    0x00f3   0x00f1   0x000a58cb EnumCalendarInfoExA
    0x00f4   0x00f2   0x00094e41 EnumCalendarInfoExEx
    0x00f5   0x00f3   0x0009496f EnumCalendarInfoExW
    0x00f6   0x00f4   0x0009497f EnumCalendarInfoW
    0x00f7   0x00f5   0x000a5961 EnumDateFormatsA
    0x00f8   0x00f6   0x000a598d EnumDateFormatsExA
    0x00f9   0x00f7   0x00094e51 EnumDateFormatsExEx
    0x00fa   0x00f8   0x0009498f EnumDateFormatsExW
    0x00fb   0x00f9   0x00039e28 EnumDateFormatsW
    0x00fc   0x00fa   0x000a59d8 EnumLanguageGroupLocalesA
    0x00fd   0x00fb   0x0009499f EnumLanguageGroupLocalesW
    0x00fe   0x00fc   0x00091df1 EnumResourceLanguagesA
    0x00ff   0x00fd   0x00091d75 EnumResourceLanguagesExA
    0x0100   0x00fe   0x00091d25 EnumResourceLanguagesExW
    0x0101   0x00ff   0x00091d4f EnumResourceLanguagesW
    0x0102   0x0100   0x0003ab6a EnumResourceNamesA
    0x0103   0x0101   0x0003ab8d EnumResourceNamesExA
    0x0104   0x0102   0x0003c797 EnumResourceNamesExW
    0x0105   0x0103   0x00083761 EnumResourceNamesW
    0x0106   0x0104   0x0009150d EnumResourceTypesA
    0x0107   0x0105   0x000914e9 EnumResourceTypesExA
    0x0108   0x0106   0x000914a5 EnumResourceTypesExW
    0x0109   0x0107   0x000914c9 EnumResourceTypesW
    0x010a   0x0108   0x000a5a17 EnumSystemCodePagesA
    0x010b   0x0109   0x000949af EnumSystemCodePagesW
    0x010c   0x010a   0x0008f682 EnumSystemFirmwareTables
    0x010d   0x010b   0x000a62dd EnumSystemGeoID
    0x010e   0x010c   0x000a59ba EnumSystemLanguageGroupsA
    0x010f   0x010d   0x000949bf EnumSystemLanguageGroupsW
    0x0110   0x010e   0x00032863 EnumSystemLocalesA
    0x0111   0x010f   0x000949cf EnumSystemLocalesEx
    0x0112   0x0110   0x000949df EnumSystemLocalesW
    0x0113   0x0111   0x000a5921 EnumTimeFormatsA
    0x0114   0x0112   0x00094e61 EnumTimeFormatsEx
    0x0115   0x0113   0x00039e40 EnumTimeFormatsW
    0x0116   0x0114   0x000a59f9 EnumUILanguagesA
    0x0117   0x0115   0x000949ef EnumUILanguagesW
    0x0118   0x0116   0x00087c54 EnumerateLocalComputerNamesA
    0x0119   0x0117   0x00087ab2 EnumerateLocalComputerNamesW
    0x011a   0x0118   0x0009d9e5 EraseTape
    0x011b   0x0119   0x00097250 EscapeCommFunction
    0x011c   0x011a   0x000179b0 ExitProcess
    0x011d   0x011b   0x000ca3ae ExitThread
    0x011e   0x011c   0x00099321 ExitVDM
    0x011f   0x011d   0x0002eb21 ExpandEnvironmentStringsA
